variable_name,values,drug_name,type,subtype
Prednison Tbl 20 mg,1626,Prednison,Corticosteroid,
Prednison Tbl 5 mg,1344,Prednison,Corticosteroid,
Prednison Tbl 50 mg,543,Prednison,Corticosteroid,
Privigen 10g Inf Lsg,42,Privigen,Immunoglobulin,
Privigen 20g Inf Lsg,638,Privigen,Immunoglobulin,
Privigen 5g Inf Lsg,8,Privigen,Immunoglobulin,
Prograf Kps 0.5mg,83,Prograf,Immunosuppressant,
Prograf Kps 1mg,1186,Prograf,Immunosuppressant,
Prograf Kps 5 mg,136,Prograf,Immunosuppressant,
Promote Fibres Plus,476,Promote,Nutrients,
Protamin 1000 Inj Lsg,1588,Protamine sulfate,Reverse Anticoagulant,
Pulmicort Dosieraerosol 0.2mg,9,Pulmicort,Corticosteroid,
Pulmicort Inhal Lsg 0.25 mg/ml,1726,Pulmicort,Corticosteroid,
Quetiapin Tbl 100 mg,51,Quetiapin,Antipsychotic,
Quetiapin Tbl 25 mg,379,Quetiapin,Antipsychotic,
Rapamune Tbl 1mg,41,Sirolimus,Immunosuppressant,
Rapifen inj 0.5 mg/ml,389,Alfentanil,Opioid painkiller,
Refludan Trockensubst 50 mg,16701,Lepirudin,Antithrombotic,Anticoagulant
Regitin Inj Lsg 10 mg/ml,611,Phentolamine,Vasodilator,Alpha blocker
Remeron subligual 15 mg,81,Mirtazapine,#,
Remeron Tbl 30 mg,3663,Mirtazapine,Antidepressant,
ReoPro,2395,Abciximab,Antithrombotic,Antiplatelet
Revatio Filmtbl 20 mg,426,Revatio,#,
Rifampicin Filmtbl 600 mg,14,Rifampicin,Antibiotic,
Rifampicin Inf Lsg,21,Rifampicin,Antibiotic,
Rifater Drg 50 mg,107,Rifater,Antibiotic,
Rimactan inf 300 mg,801,Rimactan,Antibiotic,
Rimactan Kps 300 mg,96,Rimactan,Antibiotic,
Rimactan Kps 600 mg,42,Rimactan,Antibiotic,
Risperdal Tbl 1 mg,684,Risperdal,#,
Rivotril 0.5 mg/ml,72728,Clonazepam,Antiseizure,
Rivotril Perfusor,0,Clonazepam,Antiseizure,
Rocephin 2g,0,Ceftriaxone,Antibiotic,
Rocephin 1 g Inf Lsg,3267,Ceftriaxone,Antibiotic,
Rocephin 2 g Inf Lsg,2402,Ceftriaxone,Antibiotic,
Salofalk Tbl 500 mg,24,Salofalk,#,
Sandimmun 50 mg/ml,333,Sandimmun,Immunosuppressant,
Sandimmun Neoral Kps 10 mg,23,Sandimmun,Immunosuppressant,
Sandimmun Neoral Kps 100 mg,373,Sandimmun,Immunosuppressant,
Sandimmun Neoral Kps 25 mg,113,Sandimmun,Immunosuppressant,
Sandimmun Neoral Kps 50 mg,194,Sandimmun,Immunosuppressant,
Sandimmun Neoral Trinklsg 100 mg,575,Sandimmun,Immunosuppressant,
Saroten ret Kps 25 mg,269,Saroten,#,
SDD Gentamycin/Polymyxin Kps,389,Polymyxin,Antibiotic,
Seresta 15 mg,131,Seresta,#,
Seretide 250 Disk,95,Fluticasone propionate / Salmeterol,Bronchodilator,
Seropram Tbl 20 mg,1188,Seropram,#,
Seroquel Tbl 100 mg,863,Seroquel,#,
Seroquel Tbl 25mg,2130,Quetiapine,Antipsychotic,
Simdax inf,20250,Levosimendan,Vasodilator,Inodilator
Simulect Inj Lsg,37,Simulect,Immunosuppressant,
SmofKabiven NL 1500 ml +F;+E,206728,Kabiven,Nutrients,
SmofKabiven NL 2000 ml +F;+E,36327,Kabiven,Nutrients,
SmofKabiven NL1970 ml +F;-E,25429,Kabiven,Nutrients,
Sodium nitro,722647,Nitroprusside,Vasodilator,Nitrate
Soldactone Amp.,647,Potassium canrenoate,Antimineralcorticoid,
Solu Cortef Inj Lsg 100 mg/ 2 ml,10272,Solu Cortef,Corticosteroid,
Solu Medrol 125 mg,1690,Solu Medrol,Corticosteroid,
Solu Medrol Stechamp 1g,517,Solu Medrol,Corticosteroid,
Solu Medrol Stechampullen 2g,1,Solu Medrol,Corticosteroid,
Solumedrol 40 mg,6490,Solu Medrol,Corticosteroid,
Solumedrol 500 mg,336,Solu Medrol,Corticosteroid,
Sorbidilat Kps 40mg,4,Sorbidilat,Vasodilator,Nitrate
Sotalex Tabl 80 mg,43,Sotalex,Antiarrythmic,
Stilnox Tbl 10mg,111,Stilnox,#,
StructoKabiven NL 1500 ml +F; - E,6851,Kabiven,Nutrients,
Succinolin 100mg/ 2ml,2,Succinolin,Anaesthetic,
Sufentanyl Perfusor,4,Sufentanyl,Opioid painkiller,
Surmontil Trpf 4%,67,Surmontil,#,
Survimed OPD,11878,Survimed,Survimed,
Survimed OPD HN,786,Survimed,Nutrients,
Symbicort 100/60,22,Symbicort,Bronchodilator,
Symbicort 200/60,264,Symbicort,Bronchodilator,
Tamiflu Kps 30 mg,39,Tamiflu,Antiviral,
Tamiflu Kps 75 mg,1052,Tamiflu,T#,
Tamiflu Suspension,5,Tamiflu,Antiviral,
Targin Retard Tbl 10/5mg,283,Oxycodone,Opioid painkiller,
Targin Retard Tbl 20/10mg,44,Oxycodone,Opioid painkiller,
Tavanic Inf Lsg 500 mg 100 ml,77,Levofloxacin,Antibiotic,
Tavanic Tbl 500 mg,24,Levofloxacin,Antibiotic,
Tavegyl Inj Lsg 2mg/2ml,1044,Tavegyl,#,
Tazobac Inf 4g,0,Tazobactam,Antibiotic,
Tazobac 2 g inf,14977,Tazobactam,Antibiotic,
Tegretol CR Tbl 200 mg,87,Carbamazepine,Antiseizure,
Tegretol CR Tbl 400 mg,116,Carbamazepine,Antiseizure,
Temesta Expidet 1mg,4043,Lorazepam,Antiseizure,
Temesta Expidet 2.5 mg,169,Lorazepam,Antiseizure,
Temesta inj Amp 4mg/ml,3828,Lorazepam,Antiseizure,
Tenormin  Tabl 100mg,15,Atenolol,Vasodilator,Beta blocker
Tenormin mite Tabl 50 mg,41,Atenolol,Vasodilator,Beta blocker
Tenormin submite tabl 25 mg,23,Atenolol,Vasodilator,Beta blocker
Thyrotardin 100 ug,24721,Liothyronine,Antihypothyroid,
Thyroxin TS Amp 500 ug/5ml,1906,Thyroxin,Thyroidal,
Tienam 500 mg,863,Imipenem,Antibiotic,
Topamax Tbl 50 mg,2492,Topiramate,Antiseizure,
Tora-dol Inj Lsg 30 mg,475,Ketorolac,Non-opioid painkiller,
Torem Inj Lsg 10 mg/2 ml,80,Torasemide,Vasodilator,Loop diuretic
Torem Tbl 10 mg,3818,Lorazepam,Antiseizure,
Torem Tbl 200 mg,17,Torasemide,Vasodilator,Loop diuretic
Torem Tbl 5 mg,1374,Lorazepam,Antiseizure,
Trace elements,19578,Trace elements,Trace elements,
Tracleer Tabl 62.5 mg,11,Bosentan,Vasodilator,Endothelin receptor antagoinist
Tracrium inj 10 mg/ml,41864,Tracrium,Anaesthetic,
Tracrium Perfusor,22819,Tracrium,Anaesthetic,
Tramal Amp. 100 mg,0,Tramadol,Opioid painkiller,
Tramal Kps 50 mg,3,Tramadol,Opioid painkiller,
Tramal Retard  Tbl. 100 mg,5,Tramadol,Opioid painkiller,
Tramal Trpf 100 mg/ml,11,Tramadol,Opioid painkiller,
Trandate inj,27155,Labetalol,Vasodilator,Beta blocker
Trandate Perfusor,5299,Labetalol,Vasodilator,Beta blocker
Transfusion of plasma (FFP),18071,Transfusion of Plasma,Transfusion of Plasma,
Trileptal Tbl 300 mg,104,Oxcarbazepine,Antiseizure,
Trileptal Tbl 600 mg,169,Oxcarbazepine,Antiseizure,
Trittico Tbl 100 mg,42,Trittico,#,
Trittico Tbl 50 mg,60,Trittico,#,
Ultiva Inj Lsg,14801,Remifentanil,Anaesthetic,
Urokinase 100000 U,19,Urokinase,Antithrombotic,Thrombolytics
Urokinase 500000,55,Urokinase,Antithrombotic,Thrombolytics
Valcyte Filmtabl. 450mg,47,Valganciclovir,Antiviral,
Valium inj 5 mg/ml,234,Valium,#,
Valium Tbl. 10 mg,76,Valium,#,
Valium Tbl. 5 mg,62,Valium,#,
Valtrex Tbl 500 mg,880,Valaciclovir,Antiviral,
Vancocin  Amp 500 mg,9475,Vancomycin,Antibiotic,
Vancocin oral Kps 250 mg,233,Vancomycin,Antibiotic,
Vasopressin inf 0.4 U/ml,512,Vasopressin,Vasopressor,Vasopressin
Vasopressin inj 20 U/ml,488,Vasopressin,Vasopressor,Vasopressin
Ventavis Inhal Lsg,1725,Iloprost,Vasodilator,Pulmonary
Ventolin Dosieraerosol 0.1 mg,16038,Ventolin,Bronchodilator,
Ventolin inhal 0.5% 5 mg/ml,15279,Ventolin,Bronchodilator,
Ventolin Inhal Lsg 0.05%,2518,Ventolin,Bronchodilator,
Vfend Amp,346,Vfend,Antifungal,
Vfend Filmtbl 200 mg,177,Vfend,Antifungal,
Vfend Filmtbl 50 mg,10,Vfend,Antifungal,
Viagra Tbl. 50 mg,25,Viagra,#,
Vibravenös Inj Lsg 100 mg 5 ml,462,Doxycyclin,Antibiotic,
VIII: Haemete HS,26,VIII:,#,
Vimpat Tbl. 50 mg,262,Lacosamide,Antiseizure,
Voltaren Drg 50,0,Voltaren,Non-opioid painkiller,
Voltaren Inf Lsg,108,Voltaren,Non-opioid painkiller,
Voltaren Tbl. à 75mg,13,Voltaren,Non-opioid painkiller,
Voriconazol Inf Lsg 200 mg/ 20 ml,2,Voriconazol,Antifungal,
Voriconazol Filmtbl 50 mg,0,Voriconazol,Antifungal,
Xifaxan Tabl 550 mg,197,Rifaximin,Antibiotic,
Xyzal Tbl. 5 mg,160,Xyzal,#,
Zentel Tbl 400 mg,40,Zentel,#,
Zestril Tbl 5 mg,3495,Zestril,Vasodilator,ACE inhibitor
Zinacef Amp 1.5 g,32946,Cefuroxime,Antibiotic,
Zinacef inj 100 mg/ml,0,Cefuroxime,Antibiotic,
Zinat Tabl 500 mg,13,Cefuroxime,Antibiotic,
Zoloft Tbl 50 mg,152,Zoloft,#,
Zovirax inf 250 mg,2922,Zovirax,Antiviral,
Zyprexa Filmtbl. 5 mg,319,Zyprexa,#,
